Id;Naam
1;Teamwork
2;Resultaatgerichtheid
3;Leervaardigheid
4;Luistervaardigheid
5;Vertrouwen
6;Initiatief
7;Discretie
8;Zelfstandigheid
9;Verantwoordelijkheid
10;Discipline
11;Nauwkeurigheid
12;Flexibiliteit
13;Klantgerichtheid
14;Schriftelijke Communicatie
15;Mondelinge Communicatie
16;Stressbestendigheid
17;Probleemoplossend Vermogen
18;Eigen werk organiseren
19;Loyaliteit
20;Contactvaardig
21;Analyserend Vermogen
22;Doorzettingsvermogen
23;Teamleiderschap
24;Aansturen van Medewerkers
25;Assertief Optreden
26;Project Leiden
27;Informatieverwerking
28;Snelheid
29;Managen van Verandering
30;Innovatie
31;Adviseren
32;Impact
33;Draagvlak creeren
34;Creativiteit
35;Observeren
36;Onderhandelen
37;Besluitvaardigheid
38;Presenteren
39;Plannen
40;Organiseren
41;Delegeren
42;Kerncompetenties
